Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
70084,2007,11/03/2007,East Hartford,110 PROSPECT ST,119120.0,195000.0,0.610871795,Single Family,Single Family,,,,
70043,2007,12/18/2007,Burlington,15 PUNCH BROOK RD,144760.0,265000.0,0.546264151,Single Family,Single Family,,,,
70602,2007,06/16/2008,Meriden,60 OLIVE ST,72700.0,97000.0,0.749484536,Two Family,Two Family,,,,
70919,2007,03/31/2008,Bridgeport,250 NORTH BISHOP AVE #9,28320.0,37500.0,0.7552,Condo,Condo,,,,
71728,2007,09/16/2008,Bridgeport,55D MENCEL CIRCLE #246,54100.0,95000.0,0.569473684,Single Family,Single Family,25 - Other,SOLD BELOW MARKET PRICE,,
70277,2007,08/18/2008,North Haven,130 STATE ST #G9,168280.0,250000.0,0.67312,Condo,Condo,,,,POINT (-72.8762 41.3838)
70527,2007,05/08/2008,Hartford,138 JEFFERSON ST,179046.0,165000.0,1.085127273,,,25 - Other,ASSESS > SALE,,
70038,2007,10/22/2007,Norwich,38 HOOPER ST #D2,880000.0,187500.0,4.693333333,Condo,Condo,07 - Change in Property,,,POINT (-72.05043 41.59406)
70218,2007,03/13/2008,Branford,150 WATCH HILL RD,112400.0,210000.0,0.535238095,Condo,Condo,,,,
70042,2007,11/01/2007,New Milford,102 WILLOW SPRINGS,111370.0,195875.0,0.568576899,Condo,Condo,,,,
70092,2007,03/03/2008,Seymour,16 WARREN DR,224770.0,295000.0,0.761932203,Condo,Condo,,,,POINT (-73.06442 41.38127)
70218,2007,01/03/2008,East Hartford,126 BURKE ST,118620.0,48605.0,2.440489662,Single Family,Single Family,08 - Part Interest,,,POINT (-72.59435 41.73324)
70210,2007,03/26/2008,New Milford,BIRCH LN,66500.0,50000.0,1.33,,,25 - Other,ASSESS > SALE,,
70312,2007,04/03/2008,Shelton,21 CATLIN PL,190750.0,305000.0,0.625409836,Single Family,Single Family,,,,
70292,2007,08/18/2008,Avon,GARAGE 512A-11 SPRUCEWWOD LN,5250.0,9200.0,0.570652174,Condo,Condo,25 - Other,GARAGE UNIT - SOLD IN COMPLEX,,
70200,2007,01/07/2008,Greenwich,10 GRIMES RD,1080310.0,1800000.0,0.600172222,Two Family,Two Family,,,,
70211,2007,03/24/2008,New Milford,55 PAPER MILL RD,229110.0,295000.0,0.776644068,Single Family,Single Family,,,,
70355,2007,03/14/2008,Milford,73 TULIP TREE CT,321130.0,415000.0,0.773807229,Condo,Condo,,,,
71112,2007,09/23/2008,New Haven,21 COMPTON ST #C,116830.0,200000.0,0.58415,Single Family,Single Family,,,,POINT (-72.92688 41.31811)
